iter	Logloss
0	0.625535858
1	0.5746116732
2	0.5313764005
3	0.4940158726
4	0.4615222598
5	0.4229466549
6	0.3948654997
7	0.3692988439
8	0.3470433826
9	0.3243436984
10	0.3079290003
11	0.2940110354
12	0.2779860521
13	0.2654361404
14	0.2555210883
15	0.2423390874
16	0.231068799
17	0.223475839
18	0.2163154988
19	0.2088335589
20	0.2020767154
21	0.1952123561
22	0.1899972888
23	0.1855458893
24	0.1805074934
25	0.1750702106
26	0.1712505967
27	0.1667494972
28	0.1629673566
29	0.1591554504
30	0.1561037164
31	0.1504151084
32	0.1479212823
33	0.1447805883
34	0.1428159338
35	0.1394727966
36	0.1371065414
37	0.1341962268
38	0.1316284634
39	0.1298599769
40	0.1276359049
41	0.1252435416
42	0.1233238945
43	0.1217639993
44	0.1201652401
45	0.1188870854
46	0.1171624918
47	0.116043353
48	0.1143669223
49	0.11247846
50	0.111071303
51	0.1103850746
52	0.1094231036
53	0.1080398161
54	0.1072322189
55	0.1056285636
56	0.1052306716
57	0.104514391
58	0.1038036428
59	0.1029764279
60	0.1017532502
61	0.1005121851
62	0.09958806179
63	0.09849981468
64	0.09777783842
65	0.09715241612
66	0.09650355929
67	0.09564058169
68	0.0946805507
69	0.09377656881
70	0.09303959882
71	0.09220326369
72	0.09128730422
73	0.09070072751
74	0.09059275048
75	0.08927624899
76	0.08841582625
77	0.08826635611
78	0.08778489064
79	0.0867011486
80	0.08616415851
81	0.08544223792
82	0.08487886891
83	0.08460248254
84	0.08410310083
85	0.08337759937
86	0.08293711269
87	0.08288640032
88	0.08199376839
89	0.08141289521
90	0.08059930914
91	0.08010028275
92	0.07946839139
93	0.0790564837
94	0.0786507311
95	0.07819381449
96	0.07722900846
97	0.0764678382
98	0.07576503305
99	0.07568193346
100	0.07533569709
101	0.07473013736
102	0.07430184775
103	0.07409789906
104	0.07376090612
105	0.07343589345
106	0.07313301739
107	0.0726540554
108	0.07235801488
109	0.07193719769
110	0.07144042864
111	0.07143775482
112	0.0712458615
113	0.07099904197
114	0.07072899112
115	0.07048622892
116	0.07001748421
117	0.06967367794
118	0.06936284808
119	0.06901209104
120	0.06864344261
121	0.06821237443
122	0.06790823868
123	0.06758802392
124	0.06722175554
125	0.06700652937
126	0.06684516117
127	0.0664666904
128	0.06629514319
129	0.06605343804
130	0.06592861242
131	0.065651204
132	0.06531230594
133	0.06493258034
134	0.06466759033
135	0.06427702453
136	0.0640007297
137	0.06363787244
138	0.06341185213
139	0.06312415136
140	0.0628834215
141	0.06252503293
142	0.0625222796
143	0.06227167108
144	0.06208684156
145	0.06188107691
146	0.06157635068
147	0.06122389719
148	0.0608656329
149	0.06052844649
150	0.0600422302
151	0.05982697717
152	0.05955258131
153	0.05940475688
154	0.0588983007
155	0.05839161852
156	0.05820232216
157	0.0579490972
158	0.0575516215
159	0.05734688739
160	0.05719873869
161	0.05689500068
162	0.05679997545
163	0.05655671328
164	0.05638753821
165	0.05598685181
166	0.05565835414
167	0.05546962654
168	0.05544284289
169	0.0551692161
170	0.05516915688
171	0.05487894043
172	0.05469399782
173	0.05429418366
174	0.05388602482
175	0.05362248041
176	0.05331296778
177	0.05313205159
178	0.05294887026
179	0.05266938065
180	0.05262622887
181	0.05236482083
182	0.05232903485
183	0.05199815534
184	0.05182185189
185	0.05179666988
186	0.05167508222
