iter	Passed	Remaining
399	63758	64715
400	63918	64556
401	64086	64405
402	64249	64249
403	64422	64103
404	64582	63944
405	64752	63795
406	64919	63643
407	65083	63488
408	65237	63323
409	65407	63174
410	65555	63003
411	65723	62852
412	65882	62692
413	66047	62538
414	66201	62373
415	66367	62219
416	66521	62054
417	66683	61897
418	66836	61732
419	66996	61572
420	67154	61411
421	67318	61257
422	67476	61095
423	67641	60941
424	67796	60777
425	67953	60616
426	68100	60444
427	68262	60287
428	68413	60121
429	68572	59960
430	68726	59796
431	68887	59638
432	69043	59476
433	69209	59322
434	69358	59153
435	69525	59000
436	69676	58834
437	69830	58670
438	69983	58505
439	70146	58349
440	70298	58183
441	70468	58032
442	70621	57868
443	70779	57707
444	70938	57547
445	71122	57408
446	71299	57262
447	71476	57117
448	71636	56958
449	71815	56814
450	71983	56660
451	72143	56502
452	72311	56348
453	72487	56201
454	72643	56039
455	72812	55887
456	72979	55732
457	73155	55585
458	73323	55432
459	73492	55278
460	73652	55119
461	73819	54964
462	73986	54810
463	74155	54657
464	74312	54496
465	74470	54334
466	74620	54167
467	74787	54013
468	74942	53849
469	75110	53696
470	75263	53531
471	75424	53372
472	75580	53209
473	75750	53056
474	75907	52895
475	76078	52743
476	76236	52582
477	76395	52422
478	76543	52254
479	76709	52098
480	76863	51934
481	77029	51779
482	77184	51616
483	77342	51455
484	77488	51286
485	77643	51123
486	77798	50960
487	77968	50807
488	78127	50646
489	78289	50488
490	78442	50324
491	78610	50170
492	78762	50005
493	78931	49851
494	79092	49692
495	79259	49537
496	79418	49376
497	79596	49228
498	79746	49062
499	79912	48906
500	80070	48745
501	80239	48591
502	80393	48427
503	80564	48274
504	80717	48111
505	80888	47957
506	81049	47798
507	81215	47642
508	81372	47480
509	81526	47317
510	81720	47177
511	81887	47021
512	82039	46856
513	82206	46701
514	82362	46538
515	82525	46380
516	82675	46214
517	82835	46055
518	82990	45892
519	83159	45737
520	83315	45575
521	83483	45420
522	83636	45256
523	83808	45102
524	83955	44936
525	84111	44774
526	84264	44610
527	84425	44451
528	84569	44283
529	84737	44127
530	84888	43962
531	85054	43806
532	85211	43645
533	85379	43489
534	85532	43326
535	85698	43169
536	85854	43006
537	86020	42850
538	86181	42691
539	86346	42533
540	86495	42368
541	86660	42211
542	86815	42048
543	86975	41888
544	87131	41727
545	87295	41569
546	87447	41405
547	87616	41250
548	87766	41085
549	87931	40927
550	88089	40767
551	88247	40606
552	88395	40441
553	88568	40287
554	88723	40125
555	88883	39965
556	89042	39805
557	89203	39645
558	89348	39479
559	89511	39321
560	89664	39158
561	89822	38997
562	89976	38835
563	90138	38676
564	90293	38514
565	90459	38357
566	90607	38192
567	90765	38032
568	90922	37871
569	91087	37713
570	91243	37552
571	91414	37396
572	91572	37236
573	91737	37078
574	91892	36916
575	92054	36758
